Hero Name 1,Hero Name 2,Similarity (%),Sources for Hero 1,Sources for Hero 2
EDDA,NEDDA,80.0,"edges_df, nodes_df","edges_df, nodes_df"
FATH,FAITH,80.0,"edges_df, nodes_df","edges_df, nodes_df"
GROK,GRONK,80.0,"edges_df, nodes_df","edges_df, nodes_df"
GRON,GRONK,80.0,"edges_df, nodes_df","edges_df, nodes_df"
LINK,LINAK,80.0,"edges_df, nodes_df","edges_df, nodes_df"
NAGA,NZAGA,80.0,"edges_df, nodes_df","edges_df, nodes_df"
RAGA,RAGAR,80.0,"edges_df, nodes_df","edges_df, nodes_df"
TALO,TALOS,80.0,"edges_df, nodes_df","edges_df, nodes_df"
TORG,TORGO,80.0,"edges_df, nodes_df","edges_df, nodes_df"
WONG,WRONG,80.0,"edges_df, nodes_df","edges_df, nodes_df"
XEMU,XEMNU,80.0,"edges_df, nodes_df","edges_df, nodes_df"
ZIRA,ZIRAN,80.0,"edges_df, nodes_df","edges_df, nodes_df"
AVIOS,AVIUS,80.0,"edges_df, nodes_df","edges_df, nodes_df"
CABER,CYBER,80.0,"edges_df, nodes_df","edges_df, nodes_df"
CANDY,SANDY,80.0,"edges_df, nodes_df","edges_df, nodes_df"
CYLLA,LYLLA,80.0,"edges_df, nodes_df","edges_df, nodes_df"
DANIA,DARIA,80.0,"edges_df, nodes_df","edges_df, nodes_df"
DARIA,DARLA,80.0,"edges_df, nodes_df","edges_df, nodes_df"
JAKAL,JAKAR,80.0,"edges_df, nodes_df","edges_df, nodes_df"
JAKAR,TAKAR,80.0,"edges_df, nodes_df","edges_df, nodes_df"
JOUST,ROUST,80.0,"edges_df, nodes_df","edges_df, nodes_df"
JOVAN,JUVAN,80.0,"edges_df, nodes_df","edges_df, nodes_df"
KIRIN,K'RIN,80.0,"edges_df, nodes_df","edges_df, nodes_df"
LIGHT,NIGHT,80.0,"edges_df, nodes_df","edges_df, nodes_df"
LIGHT,RIGHT,80.0,"edges_df, nodes_df","edges_df, nodes_df"
NAKKA,ZAKKA,80.0,"edges_df, nodes_df","edges_df, nodes_df"
NIGHT,RIGHT,80.0,"edges_df, nodes_df","edges_df, nodes_df"
RAGAR,TAGAR,80.0,"edges_df, nodes_df","edges_df, nodes_df"
RAMAN,RAMON,80.0,"edges_df, nodes_df","edges_df, nodes_df"
SHOT/,SPOT/,80.0,"edges_df, nodes_df","edges_df, nodes_df"
SLADE,SLIDE,80.0,"edges_df, nodes_df","edges_df, nodes_df"
SLADE,SLYDE,80.0,"edges_df, nodes_df","edges_df, nodes_df"
SLICK,STICK,80.0,"edges_df, nodes_df","edges_df, nodes_df"
SLIDE,SLYDE,80.0,"edges_df, nodes_df","edges_df, nodes_df"
SNAKE,SNARE,80.0,"edges_df, nodes_df","edges_df, nodes_df"
SURGE,YURGE,80.0,"edges_df, nodes_df","edges_df, nodes_df"
TAGAK,TAGAR,80.0,"edges_df, nodes_df","edges_df, nodes_df"
TAGAR,TAKAR,80.0,"edges_df, nodes_df","edges_df, nodes_df"
THENA,THERA,80.0,"edges_df, nodes_df","edges_df, nodes_df"
WENDY,WINDY,80.0,"edges_df, nodes_df","edges_df, nodes_df"
DEADHEAD,DEAD HEAD/,80.0,"edges_df, nodes_df","edges_df, nodes_df"
MINOTAUR,MINOTAURUS,80.0,"edges_df, nodes_df","edges_df, nodes_df"
DOMINO II,DOMINUS II,80.0,"edges_df, nodes_df","edges_df, nodes_df"
LIBRA IV/,LIBRA III/,80.0,"edges_df, nodes_df","edges_df, nodes_df"
"LO, JIMMY","WOO, JIMMY",80.0,"edges_df, nodes_df","edges_df, nodes_df"
MALICE IV,MALICE III,80.0,"edges_df, nodes_df","edges_df, nodes_df"
"MARX, DR.","MARIN, DR.",80.0,"edges_df, nodes_df","edges_df, nodes_df"
SMASHER V,SMASHER II,80.0,"edges_df, nodes_df","edges_df, nodes_df"
"TORK, LT.","TORK, SGT.",80.0,"edges_df, nodes_df","edges_df, nodes_df"
WITCHFIRE,WATCHFIRE/,80.0,"edges_df, nodes_df","edges_df, nodes_df"
"WU, SONIA","WOO, SONIA",80.0,"edges_df, nodes_df","edges_df, nodes_df"
"CIRE, EYLA","CIRE, EZRA",80.0,"edges_df, nodes_df","edges_df, nodes_df"
HAMMERHAND,HAMMERHEAD,80.0,"edges_df, nodes_df","edges_df, nodes_df"
MAJOR DOMO,MINOR DOMO,80.0,"edges_df, nodes_df","edges_df, nodes_df"
MINDSTORM/,SANDSTORM/,80.0,"edges_df, nodes_df","edges_df, nodes_df"
SANDSTORM/,WINDSTORM/,80.0,"edges_df, nodes_df","edges_df, nodes_df"
SLASHER II,SMASHER IV,80.0,"edges_df, nodes_df","edges_df, nodes_df"
"YOUNG, MAX","YOUNG, MR.",80.0,"edges_df, nodes_df","edges_df, nodes_df"
DOOMSDAY MAN,DOOMSDAY MAN II,80.0,"edges_df, nodes_df","edges_df, nodes_df"
"GRANT, SILAS","GRANT, SILAS II",80.0,"edges_df, nodes_df","edges_df, nodes_df"
IRON MAIDEN/,IRON MAIDEN II/,80.0,"edges_df, nodes_df","edges_df, nodes_df"
"LOPEZ, MARIA","LOPEZ, MARIA II",80.0,"edges_df, nodes_df","edges_df, nodes_df"
NAMELESS ONE,NAMELESS ONE II,80.0,"edges_df, nodes_df","edges_df, nodes_df"
WHITE DRAGON,WHITE DRAGON II,80.0,"edges_df, nodes_df","edges_df, nodes_df"
"MEACHUM, WARD","MEACHUM, HAROLD",80.0,"edges_df, nodes_df","edges_df, nodes_df"
"KALE, JENNIFER","NYLES, JENNIFER",80.0,"edges_df, nodes_df","edges_df, nodes_df"
"MALONE, JULIUS","CARBONE, JULIUS",80.0,"edges_df, nodes_df","edges_df, nodes_df"
MASTERMIND III,MASTER MOLD III,80.0,"edges_df, nodes_df","edges_df, nodes_df"
PRINCESS ZANDA,PRINCESS ZAFINA,80.0,"edges_df, nodes_df","edges_df, nodes_df"
"TOLLIVER, EMMA","TOLLIVER, MELBA",80.0,"edges_df, nodes_df","edges_df, nodes_df"
MOTHER INFERIOR,MOTHER SUPERIOR,80.0,"edges_df, nodes_df","edges_df, nodes_df"
"CUSSLER, PHILLIP","CUSSLER, PHILLIP JR.",80.0,"edges_df, nodes_df","edges_df, nodes_df"
MR. SINISTER | AOA,MR. SINISTER | MUTAN,80.0,"edges_df, nodes_df","edges_df, nodes_df"
BLACK KNIGHT II/SIR,BLACK KNIGHT III/EOB,80.0,"edges_df, nodes_df","edges_df, nodes_df"
BLACK KNIGHT V/DANE,BLACK KNIGHT V DOPPE,80.0,"edges_df, nodes_df","edges_df, nodes_df"
DR. SPECTRUM II/DR.,DR. SPECTRUM III/REV,80.0,"edges_df, nodes_df","edges_df, nodes_df"
ICEMAN DOPPELGANGER,SANDMAN DOPPELGANGER,80.0,"edges_df, nodes_df","edges_df, nodes_df"
"WORTHINGTON, WARREN","WORTHINGTON, KATHRYN",80.0,"edges_df, nodes_df","edges_df, nodes_df"
BINARY | MUTANT X-VE,IKARIS | MUTANT X-VE,80.0,"edges_df, nodes_df","edges_df, nodes_df"
"BOWEN, FATHER MICHAE","JANES, FATHER MICHAE",80.0,"edges_df, nodes_df","edges_df, nodes_df"
